Cultivar,Seed Yield,Irrigation
Cultivar 1,4475,Full
Cultivar 1,3425,Deficit
Cultivar 1,3900,Full
Cultivar 1,3175,Deficit
Cultivar 1,3975,Full
Cultivar 1,3400,Deficit
Cultivar 1,4250,Full
Cultivar 1,3400,Deficit
Cultivar 1,3475,Full
Cultivar 1,3050,Deficit
Cultivar 1,3725,Full
Cultivar 1,3000,Deficit
Cultivar 1,3650,Full
Cultivar 1,4250,Full
Cultivar 1,3475,Deficit
Cultivar 1,3450,Deficit
Cultivar 1,3750,Full
Cultivar 1,3700,Deficit
Cultivar 1,4000,Full
Cultivar 2,3500,Deficit
Cultivar 2,3900,Full
Cultivar 2,3650,Full
Cultivar 2,3525,Deficit
Cultivar 2,3725,Full
Cultivar 2,3950,Deficit
Cultivar 2,3250,Deficit
Cultivar 2,3750,Full
Cultivar 2,4150,Deficit
Cultivar 2,3700,Full
Cultivar 2,3800,Deficit
Cultivar 2,3775,Full
Cultivar 2,3700,Deficit
Cultivar 2,4050,Full
Cultivar 2,3575,Deficit
Cultivar 2,4050,Full
Cultivar 2,3300,Full
Cultivar 2,3700,Deficit
Cultivar 2,3450,Deficit
Cultivar 2,4400,Full
Cultivar 2,3600,Deficit
Cultivar 2,3400,Full
Cultivar 2,2900,Deficit
Cultivar 2,3800,Full
Cultivar 2,3300,Deficit
Cultivar 2,4150,Full
Cultivar 2,3400,Deficit
Cultivar 2,3800,Full
Cultivar 2,3700,Deficit
Cultivar 2,4550,Full
Cultivar 2,3200,Deficit
Cultivar 2,4300,Full
Cultivar 2,3350,Deficit
Cultivar 2,4100,Full
Cultivar 2,3600,Full
Cultivar 2,3900,Deficit
Cultivar 2,3850,Deficit
Cultivar 2,4800,Full
Cultivar 2,2700,Deficit
Cultivar 2,4500,Full
Cultivar 2,3950,Full
Cultivar 2,3650,Deficit
Cultivar 2,3550,Full
Cultivar 2,3500,Deficit
Cultivar 2,3675,Deficit
Cultivar 2,4450,Full
Cultivar 2,3400,Deficit
Cultivar 2,4300,Full
Cultivar 2,3250,Full
Cultivar 2,3675,Deficit
Cultivar 2,3325,Deficit
Cultivar 2,3950,Full
Cultivar 2,3600,Deficit
Cultivar 2,4050,Full
Cultivar 2,3350,Deficit
Cultivar 2,3450,Full
Cultivar 2,3250,Deficit
Cultivar 2,4050,Full
Cultivar 2,3800,Full
Cultivar 2,3525,Deficit
Cultivar 2,3950,Full
Cultivar 2,3650,Deficit
Cultivar 2,3650,Deficit
Cultivar 2,4000,Full
Cultivar 2,3400,Deficit
Cultivar 2,3775,Full
Cultivar 2,4100,Full
Cultivar 2,3775,Deficit
Cultivar 3,4500,Deficit
Cultivar 3,5700,Full
Cultivar 3,4450,Deficit
Cultivar 3,5700,Full
Cultivar 3,5400,Full
Cultivar 3,4550,Deficit
Cultivar 3,4800,Deficit
Cultivar 3,5200,Full
Cultivar 3,4400,Deficit
Cultivar 3,5150,Full
Cultivar 3,4650,Deficit
Cultivar 3,5550,Full
Cultivar 3,4650,Deficit
Cultivar 3,5850,Full
Cultivar 3,4200,Deficit
Cultivar 3,5850,Full
Cultivar 3,4150,Deficit
Cultivar 3,6300,Full
Cultivar 3,4800,Deficit
Cultivar 3,5350,Full
Cultivar 3,5700,Full
Cultivar 3,5000,Deficit
Cultivar 3,4400,Deficit
Cultivar 3,5050,Full
Cultivar 3,5000,Deficit
Cultivar 3,5100,Full
Cultivar 3,4100,
Cultivar 3,5650,Full
Cultivar 3,4600,Deficit
Cultivar 3,5550,Full
Cultivar 3,5250,Full
Cultivar 3,4700,Deficit
Cultivar 3,5050,Deficit
Cultivar 3,6050,Full
Cultivar 3,5150,Deficit
Cultivar 3,5400,Full
Cultivar 3,4950,Deficit
Cultivar 3,5250,Full
Cultivar 3,4350,Deficit
Cultivar 3,5350,Full
Cultivar 3,3950,Deficit
Cultivar 3,5700,Full
Cultivar 3,4300,Deficit
Cultivar 3,4750,Full
Cultivar 3,5550,Full
Cultivar 3,4900,Deficit
Cultivar 3,4200,Deficit
Cultivar 3,5400,Full
Cultivar 3,5100,Deficit
Cultivar 3,5300,Full
Cultivar 3,4850,Deficit
Cultivar 3,5300,Full
Cultivar 3,4400,Deficit
Cultivar 3,5000,Full
Cultivar 3,4900,Deficit
Cultivar 3,5050,Full
Cultivar 3,4300,Deficit
Cultivar 3,5000,Full
Cultivar 3,4450,Deficit
Cultivar 3,5550,Full
Cultivar 3,4200,Deficit
Cultivar 3,5300,Full
Cultivar 3,4400,Deficit
Cultivar 3,5650,Full
Cultivar 3,4700,Deficit
Cultivar 3,5700,Full
Cultivar 3,4650,
Cultivar 3,5800,Full
Cultivar 3,4700,Deficit
Cultivar 3,5550,Full
Cultivar 3,4750,Deficit
Cultivar 3,5000,Full
Cultivar 3,5100,Full
Cultivar 3,5200,Deficit
Cultivar 3,4700,Deficit
Cultivar 3,5800,Full
Cultivar 3,4600,Deficit
Cultivar 3,6000,Full
Cultivar 3,4750,Deficit
Cultivar 3,5950,Full
Cultivar 3,4625,Deficit
Cultivar 3,5450,Full
Cultivar 3,4725,Deficit
Cultivar 3,5350,Full
Cultivar 3,4750,Deficit
Cultivar 3,5600,Full
Cultivar 3,4600,Deficit
Cultivar 3,5300,Full
Cultivar 3,4875,Deficit
Cultivar 3,5550,Full
Cultivar 3,4950,Deficit
Cultivar 3,5400,Full
Cultivar 3,4750,Deficit
Cultivar 3,5650,Full
Cultivar 3,4850,Deficit
Cultivar 3,5200,Full
Cultivar 3,4925,Full
Cultivar 3,4875,Deficit
Cultivar 3,4625,Deficit
Cultivar 3,5250,Full
Cultivar 3,4850,Deficit
Cultivar 3,5600,Full
Cultivar 3,4975,Deficit
Cultivar 3,5500,Full
Cultivar 3,4725,
Cultivar 3,5500,Full
Cultivar 3,4700,Deficit
Cultivar 3,5500,Full
Cultivar 3,4575,Deficit
Cultivar 3,5500,Full
Cultivar 3,5000,Deficit
Cultivar 3,5950,Full
Cultivar 3,4650,Deficit
Cultivar 3,5500,Full
Cultivar 3,4375,Deficit
Cultivar 3,5850,Full
Cultivar 3,4875,
Cultivar 3,6000,Full
Cultivar 3,4925,Deficit
Cultivar 3,,
Cultivar 3,4850,Deficit
Cultivar 3,5750,Full
Cultivar 3,5200,Deficit
Cultivar 3,5400,Full
